Date;EUPG15;EUPG110;EUPG120;EUPG55;EUPG510;EUPG520;EUPG105;EUPG1010;EUPG1020
11/04/13;45.58326289;19.51800847;12.57421544;13.32101806;10.27384839;9.69183078;7.404739033;8.024691358;8.261494253
18/04/13;50.06925208;20.56295064;12.89899432;13.96434635;10.68503351;9.921524664;7.786483839;8.336168765;8.498531571
25/04/13;51.97431018;21.34111617;13.28475336;14.47253705;11.08247423;10.20466718;7.990294511;8.670621075;8.739228175
02/05/13;50.35496957;21.08540925;13.08368007;13.76467931;10.57086614;9.701492537;7.64604811;8.255897069;8.275993884
09/05/13;45.1007326;18.99288451;11.85344828;12.4269616;9.551800147;8.788990826;7.037815126;7.556970509;7.544964029
16/05/13;45.8295351;18.90801506;11.93302247;12.24572823;9.561466571;8.771140698;6.991122384;7.527147088;7.514094433
23/05/13;41.81213633;18.32991278;11.79187192;12.10122095;9.534639608;8.787825475;7.011155872;7.517707663;7.57549462
30/05/13;38.47926267;17.50248262;11.69093851;11.88445134;9.47258848;8.861646235;7.147277228;7.595751529;7.777777778
06/06/13;37.8238342;17.15328467;11.61858974;11.36970622;9.275163174;8.856345886;7.206652294;7.583547558;7.866341803
13/06/13;34.82758621;16.66666667;11.39140717;11.39992573;9.204737733;8.933518006;7.366482505;7.661419852;8.005569092
20/06/13;30.58608059;15.38802661;10.84977238;10.43557169;8.512396694;8.457374831;6.950269623;7.326639473;7.650459028
27/06/13;33.00248139;14.99122037;10.70336391;10.21448664;8.542959817;8.623040218;7.06095353;7.506402049;7.979094077
04/07/13;32.96052632;15.56247221;10.91954023;10.11490251;8.424967658;8.420696652;6.810035842;7.281091371;7.639128932
11/07/13;35.48387097;16.20162016;11.03448276;10.64504759;8.735037205;8.661948096;6.877213695;7.364462551;7.710760795
18/07/13;34.1862118;15.59869036;10.52424123;10.59723234;8.824508825;8.776779544;6.939393939;7.483974359;7.751666082
25/07/13;29.57568081;14.27324313;10.03773585;9.965457686;8.386683739;8.37520938;6.812149808;7.247964934;7.491408935
01/08/13;29.44444444;14.34443964;10.01876173;10.06213324;8.410617205;8.425275827;6.890459364;7.325835676;7.541995201
08/08/13;27.59680393;13.62660944;9.765188222;9.361120601;7.987978488;7.80730897;6.317321689;6.983240223;7.101399795
15/08/13;25.84364454;12.95481807;9.226713533;8.942829767;7.559008067;7.216981132;5.998333796;6.630242174;6.562703054
22/08/13;27.00709995;13.32940715;9.421288322;9.261596718;7.742125405;7.318952234;6.098226467;6.661849711;6.627649478
29/08/13;25.26580862;12.87268332;9.319943622;9.163152773;7.742227588;7.397476341;6.211613624;6.818181818;6.772521063
05/09/13;23.23030907;11.96100487;8.697846568;8.499539736;7.26718886;7.149404216;5.955301172;6.51545796;6.519670051
12/09/13;33.15018315;13.91246092;9.507313318;8.9151098;7.744266415;7.720588235;6.485919712;7.14513049;7.296061885
19/09/13;25.82356226;12.61350178;8.754729962;8.681318681;7.417179713;7.457212714;6.129382985;6.484935438;6.926203877
26/09/13;26.57445556;13.12319736;9.003215434;9.1860085;7.686453577;7.670364501;6.279921149;6.62901308;7.029478458
03/10/13;25.48500882;12.64367816;8.695652174;8.902994792;7.457729469;7.408565177;6.093489149;6.328558901;6.637027628
10/10/13;24.44759207;12.16;8.436853002;8.832908163;7.4512123;7.295482295;5.962428533;6.216061732;6.476603657
17/10/13;25.94312246;12.5555107;8.607551091;9.070584478;7.605800533;7.434491164;6.115499864;6.294604625;6.531809759
24/10/13;29.63076923;13.51237935;9.128113879;9.567799406;7.917933131;7.640834111;6.272600834;6.469904042;6.622724419
31/10/13;30.37974684;13.73626374;8.992276572;9.579918033;7.875;7.523961661;6.16827743;6.365258775;6.456264018
07/11/13;32.28532792;13.9494333;8.896151053;9.366621984;7.693488943;7.333124412;6.096196868;6.260945709;6.424756519
14/11/13;32.2972973;13.64425163;8.777937996;9.187749667;7.499239428;7.238272756;6.120475269;6.329479769;6.519026825
21/11/13;32.74128686;13.75695336;8.922800718;9.386222658;7.687669581;7.426356589;6.236172566;6.496519722;6.738035264
28/11/13;31.36920981;13.29391152;8.778346745;9.391801075;7.591623037;7.477820025;6.239484016;6.435935199;6.82840617
05/12/13;28.86533666;12.84175642;8.424199789;9.222365039;7.52672209;7.454657239;6.173344235;6.479357798;6.817467798
12/12/13;29.20382166;12.92775665;8.506819813;9.308423468;7.646880678;7.595731325;6.380316931;6.628621598;7.051076132
19/12/13;28.08814401;12.69182912;8.472468917;9.136319691;7.594367885;7.540422886;6.377974543;6.614219114;7.001594896
26/12/13;26.63043478;12.14050945;8.209745763;8.91535243;7.388573138;7.253564786;6.144711406;6.424418605;6.692039328
02/01/14;25;11.58316633;7.802768166;8.609271523;7.05052879;6.868717636;5.898341941;6.089193825;6.285090455
09/01/14;25.46893318;11.66332665;7.671138631;8.692235146;7.073954984;6.845597105;5.980021598;6.126202603;6.296068796
16/01/14;28.57142857;12.83613445;8.226950355;9.389288047;7.676098736;7.222222222;6.298235943;6.665706882;6.698938164
23/01/14;30.84756899;13.49586417;8.632697947;9.847715736;8.118195956;7.660389403;6.550156294;7.051472776;7.12900097
30/01/14;32.25806452;13.91246092;8.870967742;10.1102308;8.304278922;7.782481276;6.714037123;7.212268448;7.296137339
06/02/14;32.85714286;13.88134058;8.712121212;10.12591815;8.213025345;7.694837225;6.701785192;7.160342717;7.244931871
13/02/14;33.52559481;13.87362637;8.653480411;10.12613875;8.132820019;7.649376231;6.604324956;7.055589493;7.116848726
20/02/14;34.8409894;14.42741208;8.953271028;10.5017301;8.333333333;7.787810384;6.697326818;7.149280576;7.193778354
27/02/14;35.15267176;14.6300716;8.991399531;10.71167883;8.504301787;7.839838493;6.778142729;7.216174184;7.270580297
06/03/14;36.02729885;14.79426722;8.948374761;10.85091169;8.617886179;7.903439153;6.783402001;7.237043852;7.266091573
13/03/14;35.44106167;14.96368039;8.98744113;10.9936967;8.697100966;7.940780619;6.757159905;7.191568506;7.264814195
20/03/14;34.75954738;14.82249885;8.855948309;11.13105925;8.74796748;7.998683344;6.82883939;7.22763238;7.302631579
27/03/14;35.23698524;14.84375;8.779231074;11.31400602;8.811613774;7.98433776;6.877828054;7.243650047;7.263799526
